id,length,comment,annotator_1,annotator_2,change
483,22,ඒ ටීච හොඳට කියලා දෙනවා,positive,positive,1
497,25,ප්රංශෙ ජනාදිපති මතක් උනා.,neutral,neutral,1
502,18,චික් හිරිකිතේ බැහැ,negative,negative,1
530,19,ඉක්මන් සුව අත්වේවා.,positive,positive,1
539,32,ජීවිතය අනිත්යයි ජීවිතය අනිත්යයි.,negative,negative,1
544,27,සුදුස්සන්ට සුදුසු තැන නැද්ද,conflict,negative,0
546,38,අමුඩෙ ගහගෙන රගපාපු නලුවා මෙයාගේ තාත්තා,neutral,neutral,1
550,34,මේ අර අමුඩෙ ගහගෙන රගපාපු නලුවා නේද,neutral,neutral,1
571,33,ලාවටනම් කමක් නෑ.අම්මෝ අපි බය උනා.,negative,negative,1
584,22,වෛද්ය වෘත්තියට නිගාවක්,negative,negative,1
596,12,ඒ ඉස්සර ලංගම,neutral,neutral,1
600,24,අපේ බස් එක මේ සතියම ගෙදර,neutral,neutral,1
638,30,සමාජෙ පැතිරිලා නෑ. බයවෙන්න එපා,positive,positive,1
643,42,වී කරල් තියන කුඹුරේ සෙරප්පු දාගෙන ඉන්න එපා,neutral,neutral,1
658,36,පොලිස් නිලධාරින් ද ඔහුට පහර දුන් බව.,negative,negative,1
684,37,අපෝ කේ ජි විමලසේන. එයා තමයි හොදටම කලේ,negative,positive,0
693,35,අපේ පොලෝසිය මාර ලොකු වැඩක් කරලා නේද,positive,positive,1
699,35,කවුද කියල නොදන්නවා උනත් කථාවනම් මරු,positive,positive,1
707,27,මුගේ. ධනු කයිය විතරයි පඩ ෂෝ,negative,negative,1
708,13,කව්ද අප්පා මේ,negative,neutral,0
709,32,කවුද බං මූ. මම සිරාවටම දන්නෙ නෑ.,negative,negative,1
717,9,මු ගේ නෙද,neutral,neutral,1
718,16,නැහැ දොර ඉඩ කඩම්,neutral,neutral,1
720,35,මූ උග්ර කොටියෙක් ලමයි අහු වෙන්න එපා,negative,negative,1
721,12,ඉරිසියාකාරයා,negative,negative,1
723,19,යුද්දේ නැතුව පාලුයි,negative,negative,1
728,22,ධම්මික පෙරේරගෙ බඩු බන්,negative,neutral,0
731,37,තාම සමාජගත වෙලා නෑනේ බයවෙන්න දෙයක් නෑ,positive,positive,1
732,26,රාත්රී කොරෝනා අලුත් එකක් ද,negative,negative,1
733,27,වියත් මග කියත් මග කෝවීඩ් මග,negative,negative,1
744,38,එතකොට එකේ ගොබිලෝ ඉන්දියාවට ගිහින්ම නෑ.,negative,negative,1
749,26,බෝ වුන විදිය අපිනම් දන්නවා,conflict,conflict,1
753,41,අඩෝ බ්රන්ඩික්ස් එකට මොනවත් කීවොත් බලාගමු.,negative,negative,1
756,31,ඇගලුම් මනාලිය. අනේ රටකට ගිය කල.,negative,negative,1
758,40,මනාලිය බලන්නට ගොස් කොරෝනා කැන්දන් ආ වගයි,negative,negative,1
761,19,අනේ පව් ඒ ගෑනු ළමයා,negative,negative,1
763,3,අඩේ,negative,negative,1
765,19,බයියෝ ඇවිත් රට කැවා,negative,negative,1
767,25,අවුලක් නෑ සමාජයේ නෙවෙයිනේ,neutral,positive,0
794,29,ඔයා ඔය කාලෙදි හිටියද වයස කීයද,neutral,neutral,1
804,16,ඔයාට ජයවේවා පුතා,positive,positive,1
824,25,හොද වෙලාවට සමාජයේ නෙමෙයි.,positive,positive,1
830,26,සමිතා ඔයා මේවට වගකියන්න ඕන,negative,negative,1
831,39,සමිතා මේව බලන්නෙ නැහැ දුව විතරයි බලන්නෙ,neutral,neutral,1
835,35,කොලුවට මල්වත්ත පෙන්නන එක්ක යන්න ඇති,neutral,positive,0
845,28,ඉකේයියා ලොන්ත පෝල් බඩු ලාල්.,negative,negative,1
858,29,වයිෆ්ට වයස 52. ඒනි ප්රෝබ්ලෙම්,negative,negative,1
865,32,හැම විශයම උගන්වනව කිව්වෙ නිකන් ද,neutral,neutral,1
867,27,මදුමිට අමර සැපක් දෙන්න ඇති.,positive,positive,1
869,20,නාකි විසේ ගෙටත් විසේ,negative,negative,1
875,21,කියන්නෙ ඇත්ත නේ බොලේ.,positive,positive,1
887,21,බලපත්ර නොමැති පිස්තෝල,negative,negative,1
891,24,රවි කරුණානායක පාර්ට් 2 ද,neutral,neutral,1
901,39,මේ මනුස්සයාට නිදහසේ ඉන්න දෙන් නැති හැටි,negative,negative,1
925,13,ඔව් ඒකත් ඇත්ත,positive,positive,1
940,35,උල තියන්න තරම් ආත්මාර්ථකාමී මෝඩියක්,negative,negative,1
948,37,සුපිරියි අවාසනාවකට වැඩේ හරි ගිහින් නෑ,negative,conflict,0
963,22,නිවන් සුව ඔබට පියාණෙනී,positive,positive,1
971,17,බෝගම්බර පොකුරකුත්,neutral,negative,0
978,38,තාම සමාජ ගතවෙලා නෑනේ බය වෙන්න දෙයක් නෑ,positive,positive,1
1017,5,ඇත්ත.,positive,positive,1
1018,22,අත පය වනන්න එපා කියන්න,neutral,neutral,1
1025,31,තොරණ හංදිය ස්වයංක්රීය ලාම්පු නෑ,negative,negative,1
1036,19,ගාල්ලෙ එවන් ගම කෑවා,negative,negative,1
1039,37,බඩු ලාලෝ.උඹ හොද දෙයක් දකින්නේම නැද්ද.,negative,negative,1
1055,38,බය වෙන්න දෙයක් නෑ තාම සමාජ ගතවෙලා නෑනේ,positive,positive,1
1058,26,බඩු හරි වගෙයි. අපොඉ අපේ රට,negative,negative,1
1060,27,තවත් පැතිරෙනකන් බලන් ඉන්නවද,negative,negative,1
1068,14,පොඩි බබෙක් වගේ,neutral,neutral,1
1073,41,ඊළඟ රූප රාමුව පූජිත ගහනවා දුවන්නට හිටන්ටා,negative,negative,1
1076,21,හිනා කාලා මැරෙනවා ඕයි,conflict,conflict,1
1077,15,මටත් එහෙමයි ඕයි,neutral,neutral,1
1079,28,මමත් ඉතිං ඔන්න ඕහේ හා කිව්වා,conflict,positive,0
1080,31,තොපි දෙන්නම කියන්නේ අමූලික බොරු,negative,negative,1
1102,9,ජනාධිපති.,neutral,neutral,1
1108,31,පූජිත කුජීත වැඩනෙ කරලා තියෙන්නේ,negative,negative,1
1111,21,පරිප්පුවක්ම වෙලා බොලේ,negative,negative,1
1113,38,බඩු උස්සනව බස්සනව. මුන්ට මාර ජොලි ඇති.,positive,positive,1
1115,12,සුරංගනා කතා.,neutral,neutral,1
1117,35,ජනතාවට දුක්විදල අඩුවෙන් කන්න වෙන්නෙ,negative,negative,1
1137,26,දෙකොනින් හිනා ජනතාව රැවටීම,negative,negative,1
1138,12,20 බදුර්දීන්,neutral,neutral,1
1155,23,මේක තවත් නාටකයක් විතරයි,negative,neutral,0
1184,27,කියන දේ අහවි කියලා තමයි බය.,negative,negative,1
1187,39,අදෝ චීනා තෝ නිරෝධානය වෙලාද හොරටද ඇත්තටද,negative,negative,1
1199,10,ලිං ගෙම්බෝ,negative,negative,1
1204,11,සහතික ඇත්ත.,positive,positive,1
1209,13,ඔටාර ට කියපන්,negative,neutral,0
1232,39,අනේ පල පල බ්රැන්ඩික්ස් යන්ඩ. උඹල බබ්බු.,negative,negative,1
1266,5,රමේෂ්,neutral,neutral,1
1287,24,හොද වැඩක්.අසරණ කම්කරුවෝ.,conflict,conflict,1
1290,11,පිලිපදියි ද,neutral,neutral,1
1297,20,ඔයාට අනුර ස ද කිවුවෙ,neutral,neutral,1
1307,18,බොරු පතුරුවන්න එපා,positive,positive,1
1310,41,ඒකට තමයි ග්රාමසේවක සහතිකයක් ගේන්න කියන්නේ,neutral,neutral,1
1329,22,බොරු පොශ් තමයි හැමතැනම,negative,negative,1
1336,24,අපේ චන්දෙට පස්සේ උනා වගේ,neutral,neutral,1
1342,35,15 දි අපි පල්ලෙහා වෙලේ මඩකරි අල්ලනව,neutral,neutral,1
1345,15,සමිතා ටීචර් නේ.,neutral,neutral,1
1349,17,නෙදකින් පවු කාරයා,negative,negative,1
1354,42,පැණි හැලියේ වැටුණු ඇඹලයාගේ කථාව මතක් වුණා.,neutral,neutral,1
1355,27,පුතත් නෑ. මධුමි මිසුත් නැහැ,negative,negative,1
1357,9,අවුල් වගේ,negative,negative,1
1359,20,රවටාගෙන හෙහ් හෙහ් හේ,negative,negative,1
1370,31,බය වෙන්න එපා තාම සමාජගත වෙලා නෑ,positive,positive,1
1371,11,ගම්බද ජනතාව,neutral,neutral,1
1388,34,මේ දවස්වල අපේ අනුර සට අවුරුදු වගේ.,positive,neutral,0
1389,18,ජවිපෙ මධ්යම කමිටු.,neutral,neutral,1
1406,25,හිරු ට හරි සතුටු ඇති දැන්,positive,positive,1
1407,16,මේ මොන විකාරයක්ද,negative,negative,1
1411,18,එතකොට කාමරේ යාලුවට,neutral,neutral,1
1413,38,ජීවත් වෙලා ඉන්න රටක් තියෙනවනෙ ඒකම මදිද,positive,positive,1
1424,31,අහවල් වැඩෙත් කැලේදීම කරන්න ඇති.,negative,neutral,0
1434,22,40 හැවිරිදි දෙදරු මවක.,neutral,neutral,1
1435,6,නිධානය,positive,positive,1
1436,10,කුණ්ඩලකේශී,neutral,neutral,1
1440,14,කුණ්ඩලකේසී 2.0,neutral,neutral,1
1450,30,වැදපන්. තව ටික කාලයයි කොහොමත්.,conflict,neutral,0
1464,23,ඔය තියෙන්නේ නැති ඩොලර්.,neutral,positive,0
1468,33,අපේ කරුමේ. නැත්තම් කුවේනිගේ සාපෙ.,negative,negative,1
1480,36,අඩෝ ලොක්කා ගිහින් තියෙන්නේ ජෙට් එකක.,neutral,neutral,1
1481,29,ඌට ප්රයිවෙට් අපිට පබ්ලික් මනි,neutral,neutral,1
1506,36,දැන් එතකොට මේකට වග කියන්නෙ කවුද අපිද,negative,neutral,0
1528,15,අපේ රට ආඩම්බරය්,positive,positive,1
1533,30,අවුලක් නෑ තාම සමාජ ගතවෙලා නෑනේ,positive,positive,1
1535,32,නිදුක් නිරොගී සුව ප්රර්ථනා කරමි.,positive,positive,1
1540,13,එතකොට කොමඩු 2,neutral,neutral,1
1542,8,කවුද මේ.,neutral,neutral,1
1548,20,මූ තනිකර ගොං හරකෙක්.,negative,negative,1
1554,40,ඇත්තටම ලංකාවේ ගැහැනු මේ තරම් මහත කැත ඇයි,negative,negative,1
1555,27,උන්ට හොදට කන්න තියෙනව මෙහෙ.,positive,positive,1
1558,17,ජාතික කිරි මව්වරු,neutral,positive,0
1568,28,බලපන් මොළ හතා නැති එකේ පාඩුව,negative,negative,1
1582,33,පව්. අන්තිමට මස් කට්ටක් හම්බවෙලා.,negative,negative,1
1588,19,අම්මො ඇයි බං මෙහෙම.,neutral,neutral,1
1607,14,කි තැනක ඔය වගේ,neutral,neutral,1
1610,34,දැන් ඕකට ගිය කට්ටියට මොකක්ද වෙන්නේ,neutral,neutral,1
1620,29,ඔය ගැන රිසි ආච්චිට කියන්න එපා,neutral,neutral,1
1621,26,ගොඩක් හාරන්න ඇති නේ හික්ස්,negative,neutral,0
1632,37,ඒ වුනාට ප්රමිති සහතිකයක් තියෙන්න ඕනෙ.,neutral,neutral,1
1665,31,මදිවට හදපල්ලකො දැන් ඩයිනොසෝරත්.,negative,negative,1
1666,13,යෙ එකක් දාමු.,neutral,neutral,1
1668,36,බුදු අම්මෝ චීනෙන් නම් තව මොකුත් එපෝ.,negative,negative,1
1670,30,මුං මුළු ලෝකෙම කන්න වගේ හදන්නේ,negative,negative,1
1673,4,පට්ට,positive,positive,1
1704,4,උඹලට,negative,neutral,0
1710,14,ඔබ හරියටම හරි.,positive,positive,1
1716,11,ජන්දය ඉවරයි,neutral,neutral,1
1720,34,මූ හින්දා තමයි සයිටම් වහුනේ. පරයා.,negative,negative,1
1738,16,උගත් ගොත්රිකයෙක්,conflict,positive,0
1757,28,ඉදිරිපත් වෙන්න ඇයි මන්ද පමා.,neutral,neutral,1
1775,28,කඳු රට පර දෙමෙල්ලුගේ වැඩ ඕවා,negative,negative,1
1778,16,නල්ල මලේ පුරසාරම,negative,negative,1
1792,14,රැස්පෙක්ට සර්.,positive,positive,1
1794,30,චීනගේ ටෙස්ටින් කිට් ඔහොම තමයි,neutral,neutral,1
1801,40,හරිම කනගාටුයි. ඔබට නිවන් සුව ලැබේවා දුවේ,conflict,positive,0
1802,29,අකල් මරණයක් නිවන්සුව අත්වේවා.,positive,conflict,0
1803,36,ලස්සන කෙල්ලෙක් පවු කොරෝනා නෙවෙයි නේද,conflict,conflict,1
1812,7,අනේ පවු,negative,negative,1
1833,42,වදුරව මාලිගාතැන්නද ලොක්ඩවුන් කරලා තියෙන්නේ,negative,neutral,0
1839,18,මඩේ පිපුණු නෙළුමක්,positive,positive,1
1841,35,ඔබ පියා වැනිම උගතෙක් වීම සතුටක් දුව,positive,positive,1
1845,35,ඒකට නම් කඳුළු ආවා.සුභ පැතුම් ඒ ළමයට,positive,positive,1
1847,40,අර හප්පපු එකා ගැන කඳුළු ආවේ නැද්ද. පව්නේ,negative,negative,1
1851,30,අති දක්ෂ දියණිය නුබට ජයම වේවා.,positive,positive,1
1857,10,සුභ පැතුම්,positive,positive,1
1874,40,යහපත් පුරවසියෙක්වී රටට ශාන්තිය ලබා දෙන්න,positive,positive,1
1887,31,ඛූදූ සරණයි. සුබ පැතුම් දියණියට.,positive,positive,1
1899,25,පරණ බෝතල් හෙම තියේ. ඕනෙයි,neutral,neutral,1
1906,24,උබේ අම්මා කොහෙද බං ඉන්නේ,neutral,neutral,1
1907,9,හික් හික්,negative,negative,1
1910,27,හිරු දෙරණ ඔබගේ අවධානය පිණිස,neutral,neutral,1
1942,31,තව එක පාරක් ඇන්නනම් 25යි අපරාදේ,negative,negative,1
1953,32,ඉන්දියාව කොරෝනා පිඹිනවා මකරා වගේ,negative,negative,1
1961,38,අප්රේල් පලවෙනිදම ඕක කිව්වනම් හරි ලොක්ක,negative,positive,0
1967,26,ඇයි අපි එහෙනං එක ගහන්ඩ ඕනේ,neutral,neutral,1
1993,39,ඔබ දිනුව.මනිසික සුවයෙන් ඉන්න.තෘවන් සරනෛ,positive,positive,1
2002,32,මුව යවන්න කිබුනෙ පිස්සන් කොටුවකට,negative,negative,1
2014,25,අමිශ්ර හෙළ ජාන තමයි ඉතින්,neutral,neutral,1
2021,13,ඇයි අර පොලිස්,neutral,neutral,1
2079,24,හැමදාම කරනකොට ඔහොම වෙනවා,neutral,neutral,1
2080,25,අබේවෙල කිරි මණ්ඩලය පරාදයි,negative,negative,1
2101,27,තවත් පැතිරෙනකල් බලන් ඉන්නවද,negative,negative,1
2123,5,වන්දි,neutral,neutral,1
2133,18,සම්පුර්ණ ඇත්ත කතාව,positive,positive,1
2161,42,තව හොඳ හොාද නැටිලි පෙන්නයි ලොක්කට ඉස්සරහට,negative,negative,1
2163,18,සුපිරි පොලිස්සියක්,positive,positive,1
2164,15,ලබා උපන් හැටියට,neutral,neutral,1
2171,42,පොර ට හඳුනා කියලා කාලේ රඟපාමක් වෙන්න බැරිද,neutral,neutral,1
2173,26,ටම්ප් දකිනකොටත් අප්පිරියයි,negative,negative,1
2204,39,භික්ෂූන් වහන්සේලා සැකයට භාජනය වන කරුණක්,negative,negative,1
2209,11,රට පුරා බඩු,neutral,positive,0
2219,30,යුද්ධය ඉවර කරපු අපිට ඔක කජ්ජක්,positive,positive,1
2244,20,නිශාන්ත මුතුහෙට්ටිගම,neutral,neutral,1
2254,31,අපාරාදෙ කියන්න බෑ මෙලෝ රහක් නෑ.,negative,negative,1
2258,18,හැලෝවීන් එකට සෝක්.,positive,positive,1
2262,11,සුපිරි කතාව,positive,positive,1
2270,35,ලිප්ටික් ගාලා තියෙන්නේ සවලෙන්ද මංදා,negative,neutral,0
2279,25,කොහෙන්ද හොයා ගන්නවද මන්දා,neutral,neutral,1
2280,22,ආආආ මේ ඉගිලෙන මාළු නේද,neutral,neutral,1
2291,6,හැඩවැඩ,positive,positive,1
2295,15,වඩාගන්න හිතෙනවා,neutral,neutral,1
2297,14,මල. ක් ලෙලියයි,neutral,negative,0
2303,11,තූ නොදකින්.,negative,negative,1
2315,35,කොමෙන්ටු බලන්න ආවේ. තාම එකක් වත් නෑ,neutral,negative,0
2317,11,කාම දේවතාවී,neutral,neutral,1
2348,34,මේ විකට රංගන දැන් තිත්තවෙලා අප්පා,negative,negative,1
2357,36,හොදට තිබුණු රටක් අපි වැවැටිච්ච තැනක්,negative,negative,1
2360,21,මේක වගේ නෙවේ එක වැඩී.,neutral,neutral,1
2367,29,දැන් ඔය බබා හම්බවෙලා තියෙන්නේ,neutral,neutral,1
2368,32,අඩෝවු අපි යුද්ධ කරපු කස්ටිය හරිය,negative,negative,1
2378,15,වන්දි ගත යුතුයි,conflict,neutral,0
2399,26,බලන් ගියාම හැමතැනම කොරෝනනේ,negative,negative,1
2407,38,කවුද බං ඔය දෙබස් අහන් හිටිය වගේ කිව්වෙ,neutral,neutral,1
2415,26,මේ මම හතර පෝයට සිල් ගත්නවා,positive,positive,1
2421,8,ඒක හොරකම,negative,negative,1
2425,23,පතිවත රැකගෙන ජීවත්වෙන්න,neutral,neutral,1
2426,22,අඹේවෙල කිරි පට්ටිය වගේ,neutral,neutral,1
2432,39,ලස්සන කෙලි පොඩ්ඩ. පරිස්සමට ජීවත් වෙන්න.,positive,positive,1
2440,42,කොච්චර පොෂ් වෙන්න බැලුවොත් ගොඩයා ගොඩයා තමා,negative,negative,1
2442,14,මඩයෙක් කියන්නෙ,negative,negative,1
2457,38,මරාට දැන් චීන භාෂව නියෙමට පුලුවන් ඇති.,positive,positive,1
2460,30,ඇය් මේක වලින් කරන්න බැරි වුනේ.,neutral,negative,0
2467,40,කොටන් අදින ඇත්තු මෙයාලා පෙරහැරේ යන ඇත්තු,neutral,neutral,1
2475,11,අයියෝ සල්ලි,negative,negative,1
2483,35,කාගෙ උනත් පොඩි දරුවන් හරිම සුන්දරයි,positive,positive,1
2508,38,බෙහෙත් ගන්න විතරද මිනිස්සු එලියට යන්නෙ,neutral,neutral,1
2511,21,ඇයි ඇස් පොට්ට කරගන්නද,negative,negative,1
2525,39,තැනට සුදුසු විදියට අඳින්නත් ඕන මෙහෙම බෑ,negative,negative,1
2527,19,දැන් ෂැපද අයිබොවන්.,positive,positive,1
2539,32,ඔප්පුව ගැන මොකුත්ම කියලා නැහැනේ.,neutral,negative,0
2546,15,මානව හිමිකම් 2.,neutral,neutral,1
2552,27,කලාද නැත්තම් වෙනම නීතියක් ද,neutral,neutral,1
2565,32,මට හිතෙන්නේ චීනෙටත් කෙල වෙයි වගේ,negative,negative,1
2571,38,පාණාතිපාතා වේරමණී සික්ඛා පදං සමාදියාමි,positive,positive,1
2573,10,ඌරො මරන්නෑ,neutral,positive,0
2575,41,ලංකාවේ අයෙමත් නරියෝ රජකරන්න පටන් අරන් වගේ,negative,negative,1
2581,19,කැලේ මැදින් අ නරියා,neutral,neutral,1
2583,40,වදුරු ප්රශ්නෙත් මේ වගේම උග්ර වෙනවා ලගදීම,negative,negative,1
2586,42,නරි කැළෑව පොත කියෙව්වා නම් ඔහොම වෙන්නෙ නෑ.,negative,negative,1
2596,14,නරියා සහ කැලෑව,neutral,neutral,1
2602,18,මෝල් ගස් පුප්පිකාට,negative,neutral,0
2612,34,අපේ එවුන් තව හොඳයි බං මුගේ හැටියට.,positive,positive,1
2620,21,මූට කොරෝනා හැදුනෙම නෑ,positive,positive,1
2634,32,මෙයාගේ හරිනං බලන්න ඕනේ පරීක්ෂණය.,neutral,neutral,1
2637,24,මෙයාගේ ඒඩ්ස් බලන්න. ඇති.,negative,negative,1
2638,28,රටම කරන්න තියෙනව වගෙ කියන්නෙ,neutral,neutral,1
2653,22,අමනූස්ස කතා කියන්න එපා,negative,negative,1
2655,11,දැන් හරිනේ.,positive,positive,1
2657,26,මේ පාරනම් බේරුමක් නැහැ වගේ,negative,negative,1
2671,39,ම්බක් නිසා ගෙම්බෙක් උන තවත් හොරිකඩයෙක්.,negative,negative,1
2672,11,ඩඩ්න්ස් නේද,neutral,neutral,1
2679,7,ගාල්ලෙද,neutral,neutral,1
2683,9,බදු මුදල්,neutral,neutral,1
2702,18,හානේ. අදමයි දන්නේ.,positive,positive,1
2707,27,ඕක දිගටම වැහුවත් කමක් නැතෝ.,neutral,neutral,1
2710,29,මුං ඒ අස්සෙ පක්ශත් මාරු කරලා.,negative,neutral,0
2715,37,බිරිඳ ට නැතුව ඇගේ යෙහෙළිය ට පමණක් ඇයි,neutral,neutral,1
2728,8,අබ සරණයි,negative,negative,1
2755,29,පරයා මාස 6කට හිරේ යවන්ඩ වටිනව,negative,negative,1
2775,16,සෑට මල පැනලා යකෝ,negative,negative,1
2784,22,අපි මැරුණත් මුන්ට මොකෝ,negative,negative,1
2801,20,කෝ මේ අනිල් ජාසින්හ.,neutral,neutral,1
2813,26,එතකොට මසාජ් පොට් ඒවා ඇරලද.,neutral,neutral,1
2827,26,හිටං පතෝලයගෙ වැඩ තමයි ඉතිං,negative,negative,1
2845,23,සිරි ව හිර කරන්නෙ මොකද,negative,negative,1
2849,7,පතෝලයා.,negative,negative,1
2859,30,මෙයා බ්රැන්ඩික්ස් වලට සම්බන්ධද,neutral,neutral,1
2870,35,ඔව් ඔව්.හොරකම් කරන්නත් හරිම දක්ෂයි.,negative,negative,1
2876,38,වේලුපිල්ලෙ ප්රබාකරනුත් නිරෝධානය වෙනවලු,neutral,neutral,1
2877,42,එතකොට අර යන වැල ක්ලිප් එක ගැන මොකද කියන්නේ,negative,negative,1
2888,38,තම්බියෝ බොරු කියන්නෙම නැහැ. අනේ මගේ කට,negative,conflict,0
2901,31,බැෂිල්ට විෂිල් එකක් දෙන්න ලමායි,neutral,neutral,1
2912,34,මූට හරි අමාරුයි විනාඩි 35 ක් ඉදලා.,negative,negative,1
2918,34,දැන් 225ම හොඳයි. ඒකනේ 23ක් දුන්නෙ.,positive,positive,1
2920,41,නෝනේ. කොරොනා තිබ්බත් නෑම කියපන් මයෙ අම්ම.,positive,positive,1
2925,6,සමාජයේ,neutral,neutral,1
2938,3,අපේ,neutral,neutral,1
2961,33,අප හරි ලොකු නිසා අපි බයයි මහත්තයෝ,negative,negative,1
2970,27,තොරතුරු මගහරින්ට උත්සාහ කර,negative,negative,1
3000,31,හුකෑස්. දැන් පොලිසියටත් කොරෝනා.,negative,negative,1
3020,25,අපේ ස කිවනවනම් අවුලක් නෑ.,positive,positive,1
3031,29,ඔබතුමාට ඕනෑ දෙයක් කරන්න අපි බ,positive,positive,1
3037,33,කිරි හරක් ගෙන් ගසා කාපු ගොන් හරකා,negative,negative,1
3040,6,සිරාවට,positive,positive,1
3045,16,කෝ අනිල් ජාසින්හ,neutral,neutral,1
